audios	text	without_lm	with_lm
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21428682.mp3	தாயும் பிள்ளையும் சரேலென் றெழுந்தே	தாயும் பிள்ளையும் சரலின் நிடுருந்தே	தாயும் பிள்ளையும் சரேலென் நடந்தே
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23721822.mp3	புனிதரும் நீயும் என்புந்தி எந்நாளும் பொருந்துகவே	உரிததும் மீயும் என்பும்பி என்னாலும் புவுபதுகவே	முழுதும் நீயும் என்புந்தி என்னாகும் பொருந்துகவே
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23796845.mp3	கதை உத்திகள் அவரிடம் படிந்துபோன விஷயம்	கதைத்திகளாரிபம் படிந்து போனஞ்சேயன்	கதை அதிகாரி ம் படிந்து போல் சென்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21394833.mp3	நீங்கள் நேற்று கீரைப் பொறியல் சாப்பிட்டீர்களா	நீங்கள் நேற்று கீரை பொருயல் சாப்பிட்டீர்களா	நீங்கள் நேற்று கீரைப் பொறியல் சாப்பிட்டீர்களா
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22732888.mp3	வைத்துள தமிழர் நூற்கள்	வைத்தொள்ளத் தமிழர் நூர்க்கள்	வைத்துத் தமிழர் நூற்கள்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22693174.mp3	ஒன்று	ஒன்று	ஒன்று
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23697333.mp3	தில்லைவாழ் அந்தணர்தம் அடியார்க்கும் அடியேன்	தில்லைவாழ் அந்தனர்க்தம் அடியார்க்கு மடுவின்	தில்லைவாழ் அந்தணர்தம் அடியார்க்கும் மாட்டின்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22930483.mp3	போரே நடத்துவதில்லை என்று உறுதி எடுத்துக்கொண்டிருந்தார் அசோகர்	போரே நடுத்துவதில்லை என்று ஒருகி எடித்துற்கொண் டிருந்தார் அஷுகர்	போரே நடத்துவதில்லை என்று ஒரு எடுத்துக்கொண்டிருந்தார் அசோகர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22064618.mp3	நான்கு	நாஅன்கு	நான்கு
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_24003785.mp3	லஞ்சம் வாங்குபவர்களைத் தண்டிப்பதைவிடக் கொடுப்பவர்களைத்தான் தண்டிக்க வேண்டும் என்று ஒரு போடு போட்டார்	லஞ்சம் வாங்குபவர்களை தண்டிப்பதைவைக் குடுப்பவர்களைத்தான் தண்டிக்க வேண்டும் என்றுஒரு போடு போட்டார்	லஞ்சம் வாங்குபவர்களைத் தண்டிப்பதைவிடக் கொடுப்பவர்களைத்தான் தண்டிக்க வேண்டும் என்று ஒரு போடு போட்டார்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21711106.mp3	ஆம்	ஆம்	ஆம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21714254.mp3	எட்டு	எத்து	பத்து
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21399325.mp3	தினைத்துணை நன்றி செய்யினும் பனைத்துணையாக் கொள்வர் பயன்தெரி வார்	தினைத்துணை நன்றி செய்யினும் அழைத்துணையாக் கொல்வர் பயன்தெரிவார்	தினைத்துணை நன்றி செய்யினும் பனைத்துணையாக் கொள்வர் பயன்தெரி வார்
