audios	text	without_lm	with_lm
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21428682.mp3	தாயும் பிள்ளையும் சரேலென் றெழுந்தே	தாயும் பிள்ளையும் சரலின் நிடுுந்தே	தாயும் பிள்ளையும் சரேலென் நடந்தே
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23721822.mp3	புனிதரும் நீயும் என்புந்தி எந்நாளும் பொருந்துகவே	உரிததும் மீயும் என்பும்தி என்னாலும் பொவபதுகதே	மரத்து நீயும் என்புந்தி என்னாகும் பொது கதை
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23796845.mp3	கதை உத்திகள் அவரிடம் படிந்துபோன விஷயம்	கதைவித்திகாவரிடம் படிந்து போனஞ்சேம்	கதை உத்திகள் அவரிடம் படிந்து போல் சேர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21394833.mp3	நீங்கள் நேற்று கீரைப் பொறியல் சாப்பிட்டீர்களா	நீங்கள் நேற்று கீரை பொருயல் சாப்பிட்டீர்களா	நீங்கள் நேற்று குறை பொறியல் சாப்பிட்டீர்களா
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22732888.mp3	வைத்துள தமிழர் நூற்கள்	வைத்தொள்ளத் தமிழர் நூர்கள்	வைத்துத் தமிழர் நூற்கள்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22693174.mp3	ஒன்று	ஒன்று	ஒன்று
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23697333.mp3	தில்லைவாழ் அந்தணர்தம் அடியார்க்கும் அடியேன்	தில்லைவாழ் அந்தனர்தம் அடியார்க்கு மடுவின்	தில்லைவாழ் அந்தணர்தம் அடியார்க்கும் மாட்டின்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22930483.mp3	போரே நடத்துவதில்லை என்று உறுதி எடுத்துக்கொண்டிருந்தார் அசோகர்	போரே நடுத்துவதில்லை என்று ஒருகி எடித்துக்கொண்டிருந்தார் அஷுகர்	போரே நடத்துவதில்லை என்று ஒரு எடுத்துக்கொண்டிருந்தார் அசோகர்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22064618.mp3	நான்கு	நாஅன்கு	நான்கு
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_24003785.mp3	லஞ்சம் வாங்குபவர்களைத் தண்டிப்பதைவிடக் கொடுப்பவர்களைத்தான் தண்டிக்க வேண்டும் என்று ஒரு போடு போட்டார்	லஞ்சம் வாங்குபவர்களை தண்டிப்பதைவிட் குடுப்பவர்களை்தான் தண்டிக்க வேண்டும் என்றுஒரு போடுபோத்தார்	லஞ்சம் வாங்குபவர்களைத் தண்டிப்பதைவிடக் கொடுப்பவர்களைத்தான் தண்டிக்க வேண்டும் என்று ஒரு போடு போட்டார்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21711106.mp3	ஆம்	ஆம்	ஆம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21714254.mp3	எட்டு	எத்து	பத்து
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21399325.mp3	தினைத்துணை நன்றி செய்யினும் பனைத்துணையாக் கொள்வர் பயன்தெரி வார்	தினைத்துணை நன்றி செய்யினும் பழைத்துனையாக் பொல்வர் பயன்தெரிவார்	தினைத்துணை நன்றி செய்யினும் பனைத்துணையாக் கொள்வர் பயன்தெரி வார்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21343140.mp3	தோளசைத்தங்கு நடம் புரிவாள்  அவன்	தோளசெய்த்தங்கு நடம் புரிவாள்  அவன்	தோளசைத்தங்கு நடம் புரிவாள்  அவன்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_24007812.mp3	வழக்கு என்ற சொல் கணக்கு என்பதோடு இணைந்துவரும் சொல் கணக்கு வழக்கு	வழக்கு என்றசொல் கணக்கு என்பதோட இனைந்து வரும் சொல் கணக்கு வழக்கு	வழக்கு என்ற சொல் கணக்கு என்பதோடு இணைந்துவரும் சொல் கணக்கு வழக்கு
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_21326090.mp3	கலையேவளர் தொழில்மேவிடு	கலையே வளர்தொழில் மேவிடு	கலையேவளர் தொழில்மேவிடு
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_22999731.mp3	வணக்கம்	வணக்கம்	வணக்கம்
/home/ubuntu/.cache/huggingface/datasets/downloads/extracted/bbc7e5ef7e1baed3b86a20ce9e146e069a26e1bebd1feadc09a550c84ff03cf0/cv-corpus-6.1-2020-12-11/ta/clips/common_voice_ta_23618083.mp3	சென்னையில் அவலம் சாலையில் தடுப்பு அமைக்கப்பட்டு தனிமைப்படுத்தப்பட்ட வீடற்றோர்	சென்னை யிலாவலம் சாலையில் தடுப்பமைக்க்பட்ட தனமைபடுத்த பட்டவே டற்சோர்	சென்னை இலவம் சாலையில் தடுப்பு ஆக்கப்பட்ட தனிமைப்படுத்தப்பட்ட வீடற்றோர்
