Unnamed: 0	audios	text	without_lm	with_lm
0	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0000.wav	brighter than early dawn's most brilliant dye are blown clear bands of color through the sky that swirl and sweep and meet to break and foam like rainbow veils upon a bubble's dome	brighter than early dawn's most brilliant dye are blown clear bands of color through the sky that swirl and sweep and meat to break and foam like rainbow veils upon a bubble's dome	brighter than early dawn's most brilliant dye are blown clear bands of color through the sky that swirl and sweep and meat to break and foam like rainbow veils upon a bubble's dome
1	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0001.wav	guided by you how we might stroll towards death our only music one another's breath through gardens intimate with hollyhocks where silent poppies burn between the rocks by pools where birches bend to confidants above green waters scummed with lily plants	guided by you how we might stroll towards death our only music one another's breath through gardens intimate with holyhawks where silent poppies burned between the rocks by pools where birches banned to confidance above green waters scomed with lily plants	guided by you how we might stroll towards death our only music one another's breath through gardens intimate with holy hawks where silent poppies burned between the rocks by pools where birches band to confidence above green waters scummed with lily plants
2	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0002.wav	venice	venice	venice
3	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0003.wav	in a sunset glowing of crimson and gold she lies the glory of the world a beached king's galley whose sails are furled who is hung with tapestries rich and old	in a sunset glowing of crimson and gold she lies the glory of the world a beached king's galley whose sails are ferled who is hung with tapestries rich and old	in a sunset glowing of crimson and gold she lies the glory of the world a beached king's galley whose sails are furled who is hung with tapestries rich and old
4	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0004.wav	the pity that we must come and go	the pity that we must come and go	the pity that we must come and go
5	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0005.wav	while the old gold and the marble stays forever gleaming its soft strong blaze calm in the early evening glow	while the old gold and the marble staves forever gleaming its soft strong blaze calm in the early evening blood	while the old gold and the marble states forever gleaming its soft strong blaze calm in the early evening blood
6	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0006.wav	the pleasant graveyard of my soul with sentimental cypress trees and flowers is filled that i may stroll in meditation at my ease	the pleasant graveyard of my soul with sentimental cyprus trees and flowers is filled that i may stroll in meditation at my ease	the pleasant graveyard of my soul with sentimental cypress trees and flowers is filled that i may stroll in meditation at my ease
7	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0007.wav	it is my heart hung in the sky and no clouds ever float between the grave flowers and my heart on high	it is my heart hung in the sky and no clouds ever float between the gray flowers and my heart on high	it is my heart hung in the sky and no clouds ever float between the gray flowers and my heart on high
8	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0008.wav	over the track lined city street the young men the grinning men pass	over the track lined city street the young man the grinning man pass	over the track lined city street the young man the grinning man pass
9	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0009.wav	ho ye sails that seem to wander in dream filled meadows say is the shore where i stand the only field of struggle or are ye hit and battered out there by waves and wind gusts as ye tack over a clashing sea of watery echoes	ho me sails that seem to wander in dream filled meadows say is this shore where i stand the only field of struggle or are ye hit and battered out there by waves and wind gusts as ye teck over a clashing sea of watery echoes	home sails that seem to wander in dream filled meadows say is this shore where i stand the only field of struggle or are ye hit and battered out there by waves and wind gusts as you tack over a clashing sea of watery echoes
10	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0010.wav	old dances are simplified of their yearning bleached by time	old dances are simplified of their union bleached by time	old dances are simplified of their union bleached by time
11	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0011.wav	he had got into her courtyard	he had got into her courtyard	he had got into her courtyard
12	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0012.wav	through the black night rain he sang to her window bars	through the black night rain he sang to her window bars	through the black night rain he sang to her window bars
13	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0013.wav	that was but rustling of dripping plants in the dark	that was but rustling of tripping plants in the dark	that was but rustling of dripping plants in the dark
14	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0014.wav	she was alone that night	she was alone that night	she was alone that night
15	/home/ubuntu/speech_data/t-seed/LibriAdapt/en-us/laughter/nexus6/test/8555-292519-0015.wav	he had broken into her courtyard	he had broken into her courtyard	he had broken into her courtyard
