Unnamed: 0	audios	text	without_lm	with_lm
0	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0000.wav	there's iron they say in all our blood and a grain or two perhaps is good but his he makes me harshly feel has got a little too much of steel anon	there's ion they say in all our blood and a grain or two perhaps is good but his he makes me harshly feel has got a little too much of steel anone	there's in they say in all our blood and a grain or two perhaps is good but his he makes me harshly feel has got a little too much of steel anon
1	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0001.wav	margaret said mister hale as he returned from showing his guest downstairs i could not help watching your face with some anxiety when mister thornton made his confession of having been a shop boy	margaret said mister hale as he returned from showing his guist downstairs i could not help watching your face with some anxiety when mister thornton made his confession of having been a shop boy	margaret said mister hale as he returned from showing his guest downstairs i could not help watching your face with some anxiety when mister thornton made his confession of having been a shop boy
2	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0002.wav	you don't mean that you thought me so silly	you don't mean that you thought me so silly	you don't mean that you thought me so silly
3	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0003.wav	i really liked that account of himself better than anything else he said	i really liked that account of himself better than anything else he said	i really liked that account of himself better than anything else he said
4	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0004.wav	his statement of having been a shop boy was the thing i liked best of all	his statement of having been a shopboy was the thing i liked best of all	his statement of having been a shop boy was the thing i liked best of all
5	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0005.wav	you who were always accusing people of being shoppy at helstone	you who were always accusing people have been shoppy at helston	you who were always accusing people have been shoppy at helstone
6	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0006.wav	i don't think mister hale you have done quite right in introducing such a person to us without telling us what he had been	i don't think mister hale you have done quite right in introducing such a person to us without telling us what he had been	i don't think mister hale you have done quite right in introducing such a person to us without telling us what he had been
7	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0007.wav	i really was very much afraid of showing him how much shocked i was at some parts of what he said	i really was very much afraid of showing him how much shocked i was at some parts of what he said	i really was very much afraid of showing him how much shocked i was at some parts of what he said
8	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0008.wav	his father dying in miserable circumstances	his father dying in miserable circumstances	his father dying in miserable circumstances
9	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0009.wav	why it might have been in the workhouse	why it might have been in the workhouse	why it might have been in the workhouse
10	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0010.wav	his father speculated wildly failed and then killed himself because he could not bear the disgrace	his father speculated wildly failed and then killed himself because he could not bear the disgrace	his father speculated wildly failed and then killed himself because he could not bear the disgrace
11	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0011.wav	all his former friends shrunk from the disclosures that had to be made of his dishonest gambling wild hopeless struggles made with other people's money to regain his own moderate portion of wealth	all his former friends shrank from the disclosures that had to be made of his dishonest gambling wild hopeless struggles made with other people's money to regain his own moderate portion of wealth	all his former friends shrunk from the disclosures that had to be made of his dishonest gambling wild hopeless struggles made with other people's money to regain his own moderate portion of wealth
12	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0012.wav	no one came forwards to help the mother and this boy	no one came forwards to help the mother and this boy	no one came forwards to help the mother and this boy
13	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0013.wav	at least no friend came forwards immediately and missus thornton is not one i fancy to wait till tardy kindness comes to find her out	at least no friend came forwards immediately and misser thornton is not one i fancy to wait till tardy kindness comes to find her out	at least no friend came forwards immediately and mister thornton is not one i fancy to wait till tardy kindness comes to find her out
14	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0014.wav	so they left milton	so they left milton	so they left milton
15	/home/ubuntu/speech_data/t-seed/LibriSpeech/other/1688-142285-0015.wav	how tainted asked her father	how tainted asked her father	how tainted asked her father
