Unnamed: 0	audios	text	without_lm	with_lm
0	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_24004901.wav	jarmni chahta tha ki rus yuddh se bahr rhe 		
1	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23832954.wav	drwaza kholia 		
2	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23832956.wav	 murkh bnna psand nhin ha 		
3	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23964612.wav	ap donon dekh rhi han 		
4	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23964614.wav	yh rhi teri chay 		
5	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_24016297.wav	dilli  ansiar men suhawne mausm ke bich trafik jam bna logon ke lia musibt		
6	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_24016299.wav	mhilaon ke liye strip clb ha 		
7	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_24016300.wav	brson tk jise khun  rhi duniya  bad men vo nikla garm pani		
8	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809919.wav	atnkwadi  ko bhi de skte han pthankot jacsa ghaw 		
9	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809924.wav	 apne pita ki geribi pr sharm nhin ati ha 		
10	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809931.wav	tum gari chla skte ho kya 		
11	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23849284.wav	itikt karobar men aiarseteisi ko mil skti ha chunauti		
12	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23849286.wav	vh roya   roya 		
13	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23849287.wav	sb log  hnse 		
14	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23849288.wav	vnde se behtr test criketr ha kohli  koch		
15	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23827473.wav	yh kursi apki ha 		
16	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23827474.wav	man abhi  wali nhin hun 		
17	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23827476.wav	chay  way  logi 		
18	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23827477.wav	uska kha hua ak shbd bhi sunne layk nhin ha 		
19	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23852746.wav	tom ko kya hua ha 		
20	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23852747.wav	shnivar hfte ka akhiri din hota ha 		
21	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23852749.wav	mera shauk gitar bjana ha 		
22	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23852750.wav	tom abhi bhi skul men ha 		
23	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23834324.wav	chay  way  lenge ap 		
24	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23834325.wav	uska dil saf ha 		
25	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23834326.wav	mhilaan duniya bdl deti han 		
26	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23834327.wav	nrity hr ak sanskriti ka ak sundr bhag hota ha 		
27	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23834328.wav	 angrezi  sangit psand han 		
28	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23901985.wav	 bs uska nam bta 		
29	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23901986.wav	vh sev srne lga ha 		
30	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23901987.wav	vh ds sal ka lrka tha 		
31	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23901988.wav	mere lia thori jgh bnaoge kya 		
32	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23901989.wav	tom ko  pilao 		
33	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23936419.wav	    locha ha  men sni lion ka bikini luk 		
34	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23936421.wav	yh rhi apki chabi 		
35	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23936422.wav	tom ne akash ki trf dekha 		
36	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23936423.wav	man shhr ka nksha khridna chahta hun 		
37	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23936424.wav	meri  khan ha 		
38	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23937109.wav	is vjh se hua dawt  a  isk ki rilij men ferbdl		
39	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23937110.wav	us sanskriti men log rng  birngi kpre phnte han 		
40	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23937111.wav	yh sshkt lokpal nhin  lalu yadv		
41	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23937112.wav	islia kyonki tum lrki ho 		
42	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23937113.wav	 kaun bnegi amas dhoni ki  waif   alia bhatt ya srddha kapoor  		
43	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833315.wav	hm ak film dekh rhe han 		
44	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833316.wav	botl  do 		
45	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833317.wav	 ak kp chay chahia 		
46	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833318.wav	hmen nhin pta hm khan han 		
47	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833319.wav	pakistan men atnki hafij sid ke bete pr bhi atnkwadi hmle ka khtra		
48	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833327.wav	mulaym ke ashirvad pr akhilesh bole  netaji jindabad  shivpal ndard		
49	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833328.wav	man skul jana nhin chahta hun 		
50	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833329.wav	am chunawon ke lia kangres strk  jat arkshaan se fir vot btoregi kangres		
51	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833331.wav	usne prtiogita firse jit li 		
52	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833333.wav	kisi ne meri ptng kat li ha 		
53	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833334.wav	hm sb tom ko jante han 		
54	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809699.wav	lui  tuamhare dost a rhe han 		
55	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809700.wav	lgta ha  shayta ki avshykta ha 		
56	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809701.wav	usne  chitthi ka jwab n dene ke lia danta 		
57	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809702.wav	yhan aspas men ak  hua karti thi 		
58	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809709.wav	grbhvti ne burka kya phana  bhrk gya dnga		
59	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809710.wav	bcheche bgiche men khel rhe han 		
60	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809711.wav	is dvip pr bhut km log rhte han 		
61	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809713.wav	tuamhen thora zyada  hona chahia 		
62	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809719.wav	tum yhan sare ke sare per kat daloge kya 		
63	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809720.wav	vh  gussa ho gya 		
64	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809721.wav	uttr prdesh men chl rhe nau frjee vishvvidyalyon ki janch asaiti ko		
65	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809722.wav	kala rng tum pr jnchta ha 		
66	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23809723.wav	vh shadishuda nhin ha 		
67	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824449.wav	tum andhere men kyon bathi ho 		
68	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824450.wav	vh  do sal  ha 		
69	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824451.wav	meri nzr in dinon kmzor ho rhi ha 		
70	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824452.wav	vh tin ghnton men waps aaga 		
71	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824453.wav	ve panch bje chay pitin han 		
72	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824456.wav	mharashtr pblik srvis kmishn men vakensi		
73	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824458.wav	usne sb  apne  ap kiya 		
74	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824459.wav	duniya bdl gi ha 		
75	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824460.wav	yh apka fasla nhin ha 		
76	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824468.wav	man siria se hun 		
77	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824470.wav	hm andr a rhe han 		
78	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824471.wav	ap kiske sath kha rhin han 		
79	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23824473.wav	vh bhut pasewali  ha 		
80	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833600.wav	afrika men ki sher han 		
81	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833601.wav	aj ke yuwaon ko nhin malum phle vishvyuddh ki tarikhen		
82	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833602.wav	muambi bhartiy rajy mharashtr ki rajdhani ha 		
83	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833603.wav	usne  vh niym  		
84	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833604.wav	mere papa amtaur pr  bje ghr lautkar ate han 		
85	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833605.wav	sensex  nifti bhari girawt ke sath bnd		
86	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833606.wav	tufan ne pure ngr ko nsht kar dia 		
87	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833607.wav	hm to bs dost ha 		
88	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833608.wav	hmari meteing kbhi  kbhar hi taim pr shuru hoti ha 		
89	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833609.wav	wariyrs ne viktoria ko hrakar dusri jit drge ki		
90	/home/ubuntu/speech_data/t-seed/CommonVoice/Hindi/common_voice_hi_23833610.wav	anbedkar yunivrsiti shuru karegi  kors		
