Unnamed: 0	audios	text	without_lm	with_lm
0	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21428682.wav	taim pillaaium sralen rezhundde	taim pillaium srlin nydundae	taim pillaaium sralen nedund
1	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_23721822.wav	buniarum neeim enbundai eannalum borundaukve 	borikdu meeim enkulvi  ennalum dovituvudve	broivdu neeim en udvi  eannalum kovith udvi
2	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_23796845.wav	kdai utkl avridam bdindaupon vishiam	kdai mutiklaribm bdindau bonnjere	kdai muth kariim bdindau bonr sare
3	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21394833.wav	neengal nernru keiraib boryel sappittirkla 	neengal nernru keirai boraiel sappittirkla	neengal nernru keiraib borul sappittirkla
4	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22732888.wav	vaithl dmizher nurhl	vaitholl dmizher nurhl	vaith ull dmizher nurhl
5	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22693174.wav	onru	onru	onru
6	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_23697333.wav	dillaiwazhn anthnrthm adiarkum adien	dillaiwazhn andhner  tham adiarku mdukin	dillaiwazhn anthnrthm adiarkum mukil
7	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22930483.wav	bore ndathuvatillai enru urudi eduathukondirundaar asokar	borel nduathuvdu illaienru orudi eduathuk condrundaar  asokar	bore ndathu vdu illai enru urudi eduathukondirundaar  asokar
8	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22064618.wav	nanku	nanku	nanku
9	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_24003785.wav	lnjm wangaupwarklaid dndippdaividoug goduppwarklaithan dndik vendum enru oru bodu bottar 	lnjm wangaupwarklai dndippdaivaid kuduppwarklaithan dndickk vendum  enruoru bodu bottar	lnjm wangaupwarklaid dndippdaividoug dppa klai than dndik vendum  enru oru bodu bottar
10	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21711106.wav	am	am	am
11	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21714254.wav	eddu	etdu	eddu
12	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21399325.wav	dinaiathunai nnry saiuinum panaiathuniahk colwar batheri var 	dinaiathunai nnry saiyinum bniathuniahk kolwar baherivar	dinaiathunai nnry sainum vaithun akk colwar badrivar
13	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21343140.wav	tolsaithngau ndam broival  avan	tozhsaihngau ndam burival  avan	tolsaithngau ndam broival  avan
14	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_24007812.wav	vzhku enr sol ganku enbtodu inaindvrum sol ganku vzhku	vzhku enrsol ganku enpatod inaindvrum sol  ganku vzhku	vzhku enr sol ganku enpatht inaindvrum sol  ganku vzhku
15	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21326090.wav	klaiavler  dozhilmevidu 	klaie vler dozhil mavidu	klaiavler dozhilmevidu
16	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22999731.wav	vnkm	vnkm	vnkm
17	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_23618083.wav	sennaiil avlam  salaiil dduppu amikekppttu dnimaippduthpptt veedrnror	sennai  lvlam salaiil dduppamikppettu dnmaippduth bttvee drnror	sennai  avlam salaiil dduppu akpptt dnimaippduthpptt veedrnror
18	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21290587.wav	atmbare ammami enundamizhthan mitham 	athimbeer  ammame enamdmizhndan  mitham	atham beer  ammami eram dmizhn dan  mitham
19	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21290588.wav	vendea bndngal endidch saitom	vendea bndngal eandidch saitom	vendea bndngal endidch saitom
20	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21303646.wav	kngaai ndippurathuk kothumaib bndm	kngaai ndiburathuk kothumai bndm	kngaai ndippurathuk kothumaib bndm
21	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21303687.wav	enku die dan bidickkum 	enku didan bidickkum	enku di dan bidickkum
22	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21277339.wav	incolal eram alaiib bdrilvam semborul kndarvaich sol 	ucolal erum adaivn pdirlma  semborul kndaru vaichon	incolal eram adaib bdi illa  semborul kndar vaithun
23	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21277343.wav	enaittbm eydiyk gannnum  vinaittbm vendarai  vendadu ulku 	vinaithrntum veidiykgam vnaidthurfm vendarai vendadu uldu	vinaittbm veedikl vinaittbm vendarai vendadu ulku
24	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_20068201.wav	gannl bizhindau kland knichare 	gannnl bizhindau kland knisare	gannl bizhindau kland bni sare
25	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_20068207.wav	dyaimik udiahl annai  ennaich	dguymik udiahl annai  ennaich	duy mik udiahl annai  ennaich
26	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22416375.wav	he	e	
27	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22416385.wav	ind	indu	indu
28	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21338731.wav	duki vnd dokiahy ennninan 	dukivnd dukiahy ennninan	duki vnd duki ennninan
29	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21338733.wav	inthvrin kuzhandiclo  a  enru kenj	inthvaiin kurandiclo  a enru kenj	inthvrin kuzhandiclo  a enru kenj
30	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_23681173.wav	manie  maniyin olie  olirum manibunaiand	manie maniyin ozhie olirum mani bunaiand	manie maniyin olie olirum manibunaiand
31	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_23681174.wav	alleymen mullaiandar amarneedik kdien	allimen mullaiandar amarneedi kdiai	alleymen mullaiandar amarneedik kdai
32	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22474516.wav	munru	mon ru	munru
33	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21310627.wav	besidum bechinil battu ndthinl 	besidum brichiennil iv battum nedthinal	besidum bechinil iv battu ndthinl
34	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21310628.wav	uthiayk kettor uraithorel larume	uthiayk kettoer uraithor ellarume	uthiayk kettor uraithorel larume
35	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_20554438.wav	tangauv dillaienit kvlai yillai 	nzklu tangawar illaienin  kavguy illai	nll tangaad illai enin  kavakal illai
36	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_20554439.wav	savgan vrudlgndu mnampathaippar	bsi  savgan vrudrgand mnum pathuyvcyrtha	bsi  savgan vrutd gand mnm pathai acha
37	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21367610.wav	idickcrt singhenare iraie eninum	edickkurer singaner iraieinainum	idickcrt singhenare iraie nanum
38	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21367613.wav	erfdumo inbm vaitdoug coodumo 	arfdumo inbn maitdd dedumo	arfdum inbm manidb dedum
39	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_22410478.wav	bujiam	duchin	duirin
40	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21341997.wav	yamrinda bulvrile kmbnaippol  vlluvrbol  ilngaovaippol bumidnil yangganume branddillai	iyammrindab blavrile kmbnippol vlluvraippol ilngaovaippol vumidnil yangainnumkab branddillai	yamrinda bulvrile kmbnaippol vlluvrbol ilngaovaippol bumidnil anga innum a branddillai
41	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21341999.wav	azhhenrn crudeaelam anbu nattil	aykai enrm enrn kurudiellam anbu natti	ayklai enrn enrn krudi ellam anbu nattil
42	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_21746487.wav	onpathu	vanpathu	onpathu
43	/home/ubuntu/speech_data/t-seed/CommonVoice/Tamil/common_voice_ta_19579269.wav	mrumlerchi kndden  saivir 	mrumlrrchsick kndden muzhngach saivir	mrumlerchi kndden muzhngaiduay iru
